split_ix,split_dt,rss
14,2022-12-01,3967.150843276152
13,2022-11-01,3983.535305159308
8,2022-06-01,4041.914399789919
15,2023-01-01,4065.3805691863995
9,2022-07-01,4079.83947399364
10,2022-08-01,4143.8368001870695
11,2022-09-01,4161.467760099796
12,2022-10-01,4189.111773765263
16,2023-02-01,4193.461437536042
17,2023-03-01,4305.103866778655
28,2024-02-01,4308.410107173311
29,2024-03-01,4323.709133016226
30,2024-04-01,4434.319777192958
27,2024-01-01,4436.469577994999
21,2023-07-01,4436.601315695256
18,2023-04-01,4460.6295233368355
26,2023-12-01,4495.865313940818
19,2023-05-01,4508.455888891796
20,2023-06-01,4510.150138206493
22,2023-08-01,4512.366891717216
24,2023-10-01,4548.1424267136135
23,2023-09-01,4558.291417507049
25,2023-11-01,4564.783203521214
31,2024-05-01,4584.889630176453
33,2024-07-01,4654.666593269992
32,2024-06-01,4711.435474086138
40,2025-02-01,4713.81409440368
39,2025-01-01,4732.375307556489
34,2024-08-01,4764.058165845773
38,2024-12-01,4781.56204179571
35,2024-09-01,4788.385095734691
44,2025-06-01,4791.995773756234
36,2024-10-01,4801.539149153186
37,2024-11-01,4809.889808532378
41,2025-03-01,4810.537811650543
43,2025-05-01,4821.128878075748
42,2025-04-01,4824.74688532817
